id;nom;age;springboot;angular;html;css;transport;sport
1;partenaire hôte sans que;9551;16306;30689;30061;20009;24825;ouah négliger aussitôt que
2;depuis de façon à;14597;6019;3951;8067;27315;11408;outre antagoniste
3;par suite de au cas où loin de;11474;9367;9291;13737;9626;29446;infiniment un peu
4;dans magenta meuh;31939;23870;17783;29862;14144;1904;diablement quant à
5;pêcher;25650;29240;9852;10606;10274;11531;sage deçà plouf
6;du moment que sage;23135;3324;6670;24365;2198;27365;plic pour fourrer
7;triste;1717;8722;20278;28979;27557;8478;broum paf
8;cocorico mieux;11736;10393;9115;15324;8451;4989;mairie
9;nonobstant fonctionnaire;7688;3387;12265;24254;8270;8287;aussitôt que hirsute après
10;céans;15177;6408;31721;21425;448;31687;approfondir pendant
