id;etat;release;modele;sorte;site;region;mission;entite
1;drelin tant que euh;autrement de la part de;davantage adversaire;assassiner ha;toutefois;environ gigantesque soulever;si bien que plic;charitable
2;accorder rédaction;commissionnaire à défaut de  aux alentours de;avant-hier assister avex;certainement minuscule charitable;jusqu’à ce que triangulaire;tellement raide cocorico;de peur que abolir à l'exception de;citer nonobstant atchoum
3;ding redouter;acheter;drelin;areu areu;sans que multiple;extatique tant;meuh bof;grandement sauvage
4;revenir pourpre;tic-tac;d'après aimable soit;à travers tant que;accueillir pendant que arrêter;tellement décrocher;autour de abaisser;magnifique
5;personnel professionnel crac redire;de sorte que badaboum autant;ouch toc pendant que;commis de cuisine conseil municipal;debout;immense antagoniste pin-pon;avant que;y crac jadis
6;envers corps enseignant devant;jeune enfant jamais;sale dispenser pour;en dedans de au-dehors;snif dorénavant;appuyer jeune enfant secouriste;par suite de;à condition que
7;atchoum areu areu;glouglou outre recta;précisément main-d’œuvre;quand;vlan pschitt occuper;infiniment à l'exception de hôte;svelte terne compenser;mieux guide
8;vétuste vouh;gâcher;rédaction grâce à marron;moderne porte-parole membre de l’équipe;vorace;admirablement;vers renoncer;y grâce à dès que
9;terriblement à la faveur de perplexe;en bas de repérer;coupable adversaire euh;conseil municipal bien;au-dessous de parmi;actionnaire ferme;même si modifier;loufoque percer élargir
10;dès;commis;près approuver moyennant;au point que ha;tant également;glouglou groin groin;de peur que subito;personnel promouvoir grouper
