id;table_name;attribut_names;type_names
1;certainement;broum;tout d’autant que
2;redouter extatique;super membre de l’équipe;dessous
3;fade derrière;ha à peu près snob;répéter
4;clac comprendre splendide;dessus à l'exception de;avant en plus de
5;crac sans doute;personnel professionnel cocorico;horrible que malade
6;situer par rapport à au-dedans de;analyser oh;efficace quoique calme
7;à côté de chef de cuisine;tandis que ferme;autour de emprunter
8;devenir;responsable fort;adversaire
9;davantage cocorico spécialiste;malade;foule foule à même
10;hors gravir fonctionnaire;si bien que ha crac;membre titulaire coin-coin lectorat
